attendance_id,beneficiary_id,program_id,visit_date,present,session_type
1,1,3,2026-02-05,False,Class
2,1,3,2026-02-25,True,Workshop
3,1,3,2025-11-06,False,Workshop
4,1,3,2026-02-17,True,Counselling
5,1,3,2026-05-10,True,Class
6,1,3,2025-12-10,True,Class
7,2,1,2026-02-22,False,Class
8,2,1,2026-05-06,True,Workshop
9,2,1,2025-11-18,True,Class
10,2,1,2026-02-25,False,Class
11,2,1,2025-10-27,True,Workshop
12,2,1,2026-03-28,True,Counselling
13,2,1,2025-11-05,True,Workshop
14,2,1,2026-05-18,True,Class
15,2,1,2026-04-18,True,Workshop
16,2,1,2025-11-10,True,Workshop
17,2,1,2025-12-04,True,Workshop
18,2,1,2026-03-12,True,Counselling
19,3,1,2025-10-17,True,Workshop
20,3,1,2026-06-07,False,Class
21,3,1,2026-03-15,True,Counselling
22,3,1,2026-01-16,True,Workshop
23,3,1,2026-03-14,True,Counselling
24,3,1,2026-02-02,False,Counselling
25,3,1,2026-02-18,True,Workshop
26,3,1,2026-01-06,True,Workshop
27,3,1,2026-01-02,True,Class
28,3,1,2025-12-31,True,Workshop
29,3,1,2026-01-02,False,Class
30,3,1,2026-05-23,True,Workshop
31,4,3,2026-03-24,True,Counselling
32,4,3,2026-03-30,True,Counselling
33,4,3,2025-12-29,False,Workshop
34,4,3,2025-10-28,False,Workshop
35,4,3,2025-12-03,False,Workshop
36,4,3,2026-05-01,True,Class
37,4,3,2026-05-11,True,Counselling
38,5,2,2025-10-15,True,Class
39,5,2,2026-05-01,False,Class
40,5,2,2026-05-19,True,Workshop
41,5,2,2026-01-23,True,Class
42,5,2,2025-11-27,False,Counselling
43,5,2,2025-11-29,True,Class
44,5,2,2026-04-06,True,Class
45,5,2,2025-12-27,False,Workshop
46,6,2,2026-04-10,True,Workshop
47,6,2,2026-01-03,True,Class
48,6,2,2026-01-29,True,Class
49,6,2,2026-06-04,True,Workshop
50,6,2,2025-11-03,False,Workshop
51,6,2,2025-10-06,True,Counselling
52,6,2,2026-02-19,True,Counselling
53,7,1,2026-04-28,False,Counselling
54,7,1,2025-12-03,False,Counselling
55,7,1,2025-12-31,True,Workshop
56,7,1,2026-02-09,True,Class
57,7,1,2026-02-19,True,Workshop
58,7,1,2026-02-27,True,Class
59,7,1,2026-03-27,True,Class
60,7,1,2026-01-30,True,Workshop
61,7,1,2026-03-31,False,Counselling
62,7,1,2026-06-10,False,Workshop
63,7,1,2026-03-28,True,Workshop
64,7,1,2025-11-20,True,Counselling
65,8,3,2025-11-21,True,Counselling
